class,class_name,n,mean_start,std_start,shapelet_idx
3,sitting,200,53.02,31.40254129843634,0
4,standing,200,57.97,32.43993064110958,0
5,laying,200,54.03,30.332311154938388,0
3,sitting,200,53.51,31.053822631038518,1
4,standing,200,55.13,32.26055021229489,1
5,laying,200,55.04,29.89512334813155,1
3,sitting,200,55.87,30.97068129699442,2
4,standing,200,53.755,30.951009272720007,2
5,laying,200,51.245,30.562640183727584,2
3,sitting,200,55.665,31.76779461970881,3
4,standing,200,55.145,31.449546499115055,3
5,laying,200,57.945,31.473830002082682,3
3,sitting,200,54.21,30.859129929406627,4
4,standing,200,55.27,32.477793952176,4
5,laying,200,55.18,29.89460820950828,4
