class,class_name,n,mean_start,std_start,shapelet_idx
0,walking,200,58.135,30.22956789304141,0
1,upstairs,200,54.255,33.066145451201294,0
2,downstairs,200,55.16,30.922716568891552,0
0,walking,200,56.305,30.259907055376097,1
1,upstairs,200,51.815,30.470490232354322,1
2,downstairs,200,58.32,34.15256359338198,1
0,walking,200,54.335,30.611971106088546,2
1,upstairs,200,55.625,33.25889918503017,2
2,downstairs,200,56.955,31.808693387185837,2
0,walking,200,53.76,31.460171646067028,3
1,upstairs,200,53.385,31.382427806019088,3
2,downstairs,200,55.655,33.85374388453956,3
0,walking,200,62.535,30.59164550984468,4
1,upstairs,200,52.285,33.226702740416485,4
2,downstairs,200,54.745,30.149460608773747,4
